Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240425_081820_v1,spinnaker,8,6.068,2.322,1.423,0.669,0.0
Synthetic_240425_081820_v2,gpu,19,13.79,3.14,1.464,0.694,0.0
Synthetic_240425_081820_v2,spinnaker,8,6.699,2.747,1.488,0.694,0.0
Synthetic_240425_081820_v3,gpu,19,12.867,2.83,1.416,0.663,0.0
Synthetic_240425_081820_v3,spinnaker,8,5.797,2.082,1.485,0.691,0.0
Synthetic_240425_081930_v1,gpu,19,14.337,3.258,1.458,0.685,0.0
Synthetic_240425_081930_v1,spinnaker,8,7.79,4.046,1.445,0.677,0.0
Synthetic_240425_081930_v2,gpu,20,14.293,3.239,1.432,0.686,0.0
Synthetic_240425_081930_v2,spinnaker,8,6.832,2.648,1.448,0.687,0.0
Synthetic_240425_081930_v3,gpu,20,15.166,3.916,1.483,0.677,0.0
Synthetic_240425_081930_v3,spinnaker,8,7.661,3.66,1.445,0.685,0.0
Synthetic_240425_082041_v1,gpu,20,17.262,4.563,1.805,0.784,0.0
Synthetic_240425_082041_v1,spinnaker,8,8.762,3.995,1.805,0.797,0.0
Synthetic_240425_082041_v2,gpu,19,17.628,4.742,1.85,0.8,0.0
Synthetic_240425_082041_v2,spinnaker,8,7.46,3.322,1.762,0.761,0.0
Synthetic_240425_082041_v3,gpu,19,16.826,4.372,1.782,0.779,0.0
Synthetic_240425_082041_v3,spinnaker,10,10.976,5.399,1.812,0.789,0.0
Synthetic_240425_082151_v1,gpu,19,2.477,0.619,0.247,0.135,0.01
Synthetic_240425_082151_v1,spinnaker,7,1.092,0.46,0.274,0.141,0.0
Synthetic_240425_082151_v2,gpu,19,2.469,0.609,0.252,0.133,0.01
Synthetic_240425_082151_v2,spinnaker,7,1.082,0.474,0.271,0.146,0.0
Synthetic_240425_082151_v3,gpu,19,2.511,0.62,0.24,0.135,0.0025
Synthetic_240425_082151_v3,spinnaker,8,1.195,0.607,0.249,0.133,0.0015
Synthetic_240425_082302_v1,gpu,19,3.252,0.642,0.382,0.182,0.0
Synthetic_240425_082302_v1,spinnaker,7,1.332,0.45,0.373,0.183,0.0
Synthetic_240425_082302_v2,gpu,19,3.245,0.646,0.349,0.181,0.0
Synthetic_240425_082302_v2,spinnaker,7,1.283,0.463,0.344,0.182,0.0
Synthetic_240425_082302_v3,gpu,19,3.386,0.652,0.352,0.183,0.0
Synthetic_240425_082302_v3,spinnaker,8,1.325,0.46,0.374,0.181,0.0
Synthetic_240425_082413_v1,gpu,19,3.227,0.699,0.351,0.179,0.0
Synthetic_240425_082413_v1,spinnaker,7,1.379,0.533,0.392,0.197,0.0
Synthetic_240425_082413_v2,gpu,19,3.084,0.667,0.344,0.178,0.0
Synthetic_240425_082413_v2,spinnaker,8,1.484,0.617,0.329,0.184,0.0
Synthetic_240425_082413_v3,gpu,19,3.269,0.694,0.349,0.182,0.0
Synthetic_240425_082413_v3,spinnaker,7,1.356,0.55,0.344,0.18,0.0
Synthetic_240425_082524_v1,gpu,19,2.648,0.607,0.309,0.156,0.0
Synthetic_240425_082524_v1,spinnaker,8,1.237,0.44,0.305,0.169,0.0
Synthetic_240425_082524_v2,gpu,19,2.793,0.616,0.292,0.158,0.0
Synthetic_240425_082524_v2,spinnaker,8,1.172,0.46,0.298,0.159,0.0
Synthetic_240425_082524_v3,gpu,19,2.709,0.603,0.3,0.156,0.0
Synthetic_240425_082524_v3,spinnaker,8,1.197,0.479,0.296,0.163,0.0
Synthetic_240425_082634_v1,gpu,19,4.435,0.789,0.443,0.239,0.0
Synthetic_240425_082634_v1,spinnaker,7,2.098,0.861,0.436,0.235,0.004
Synthetic_240425_082634_v2,gpu,19,4.177,0.77,0.429,0.239,0.0
Synthetic_240425_082634_v2,spinnaker,7,1.957,0.732,0.442,0.24,0.0
Synthetic_240425_082634_v3,gpu,19,4.492,0.815,0.457,0.24,0.0
Synthetic_240425_082634_v3,spinnaker,8,1.947,0.665,0.453,0.237,0.0
Synthetic_240425_082744_v1,gpu,19,3.707,0.699,0.396,0.219,0.0
Synthetic_240425_082744_v1,spinnaker,7,1.566,0.538,0.387,0.218,0.0
Synthetic_240425_082744_v2,gpu,19,3.907,0.718,0.392,0.22,0.0
Synthetic_240425_082744_v2,spinnaker,7,1.531,0.537,0.396,0.222,0.0
Synthetic_240425_082744_v3,gpu,19,3.853,0.716,0.38,0.22,0.0
Synthetic_240425_082744_v3,spinnaker,7,1.745,0.684,0.422,0.223,0.0
Synthetic_240425_082855_v1,gpu,19,4.161,0.78,0.447,0.226,0.0
Synthetic_240425_082855_v1,spinnaker,7,1.575,0.486,0.428,0.224,0.0
Synthetic_240425_082855_v2,gpu,19,4.086,0.766,0.428,0.223,0.0
Synthetic_240425_082855_v2,spinnaker,7,1.588,0.476,0.397,0.222,0.0
Synthetic_240425_082855_v3,gpu,19,3.967,0.748,0.431,0.217,0.0
Synthetic_240425_082855_v3,spinnaker,7,1.566,0.48,0.435,0.225,0.0
Synthetic_240425_083006_v1,gpu,19,3.641,0.752,0.364,0.199,0.0
Synthetic_240425_083006_v1,spinnaker,7,1.495,0.495,0.382,0.199,0.0
Synthetic_240425_083006_v2,gpu,19,3.757,0.747,0.388,0.203,0.0
Synthetic_240425_083006_v2,spinnaker,7,1.708,0.719,0.368,0.2,0.0
Synthetic_240425_083006_v3,gpu,19,3.752,0.774,0.395,0.202,0.0
Synthetic_240425_083006_v3,spinnaker,7,1.516,0.519,0.387,0.197,0.0
Synthetic_240425_083117_v1,gpu,19,4.638,0.827,0.504,0.249,0.0
Synthetic_240425_083117_v1,spinnaker,8,1.997,0.602,0.506,0.254,0.0
Synthetic_240425_083117_v2,gpu,19,4.719,0.863,0.489,0.253,0.0
Synthetic_240425_083117_v2,spinnaker,6,1.662,0.517,0.502,0.254,0.0
